epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,151.888,1.16858,2.55632,0.12514,0.86669,1.03895,0.90488,1,0.96603,0.67764,0.86554,0.95652,0.89888,0.52908,1.06189,2.02821,0.03768,0.69924,0.98158,0.0018218,0.0018218,0.0018218
92,153.462,1.09447,2.46496,0.11169,0.82604,1.00808,0.88073,1,0.95374,0.71162,0.88073,1,0.94524,0.5813,1.01794,1.79826,0.03819,0.67298,0.98296,0.00181982,0.00181982,0.00181982
93,154.996,1.04546,2.33404,0.1232,0.78896,0.97947,1,0.98448,0.995,0.68399,0.95586,0.94193,0.94726,0.59608,1.08683,1.82499,0.03339,0.74795,0.9858,0.00181784,0.00181784,0.00181784
94,156.554,1.16132,2.20543,0.16284,0.7779,0.99967,0.95044,1,0.99333,0.65848,0.90894,0.95652,0.95592,0.5457,1.11275,1.806,0.03047,0.7806,0.99031,0.00181586,0.00181586,0.00181586
95,158.103,1.04122,2.11353,0.12315,0.81393,0.9941,0.99311,1,0.995,0.72915,0.94994,0.95652,0.96375,0.59499,1.03285,1.81229,0.0298,0.64582,0.96246,0.00181388,0.00181388,0.00181388
96,159.648,1.18382,2.2185,0.13564,0.79984,0.98373,0.91573,1,0.95365,0.71456,0.8361,0.91304,0.86386,0.50951,0.98589,2.03321,0.03006,0.68087,0.9565,0.0018119,0.0018119,0.0018119
97,161.194,1.10763,1.99001,0.1447,0.81514,0.99866,0.91322,1,0.94203,0.65207,0.87352,0.95652,0.9051,0.59175,1.23589,1.70895,0.03411,0.78922,1.01156,0.00180992,0.00180992,0.00180992
98,162.926,1.12626,1.98302,0.11803,0.79615,0.98142,0.95332,1,0.99167,0.72336,0.91139,0.95652,0.94933,0.5951,1.04643,1.69132,0.0287,0.66459,0.95062,0.00180794,0.00180794,0.00180794
99,164.486,1.12967,2.08061,0.1554,0.81826,0.98594,0.94827,1,0.99333,0.66929,0.94827,1,0.99333,0.58894,1.22419,1.80695,0.02548,0.66274,1.00352,0.00180596,0.00180596,0.00180596
100,166.106,1.10023,2.06718,0.13798,0.78355,0.95192,0.95404,1,0.99333,0.69269,0.91256,0.95652,0.96134,0.59181,1.04974,1.62163,0.0245,0.6858,0.95032,0.00180398,0.00180398,0.00180398
101,167.676,1.09164,2.12628,0.14624,0.7589,0.99371,0.99936,1,0.995,0.72881,0.95559,0.95652,0.94468,0.55814,1.07004,1.65063,0.02108,0.65201,0.96032,0.001802,0.001802,0.001802
102,169.26,1.09638,2.16277,0.1561,0.80633,0.99484,1,0.99565,0.995,0.67197,1,0.99565,0.995,0.5988,1.1435,1.52983,0.02263,0.70358,0.97039,0.00180002,0.00180002,0.00180002
103,170.778,1.10738,2.00495,0.17488,0.75556,1.00561,1,0.99852,0.995,0.72264,1,0.99852,0.995,0.62958,1.03066,1.40396,0.02353,0.85888,0.93769,0.00179804,0.00179804,0.00179804
104,172.322,1.20497,2.1191,0.15359,0.77756,0.96746,0.97232,0.95652,0.99333,0.7249,0.92736,0.91304,0.92714,0.53641,1.04499,1.65477,0.02166,0.95262,0.95033,0.00179606,0.00179606,0.00179606
105,173.871,1.06154,2.07564,0.18822,0.80042,1.01405,0.94941,1,0.99167,0.68649,0.90813,0.95652,0.91694,0.49496,1.0773,1.91293,0.02285,0.83728,0.96785,0.00179408,0.00179408,0.00179408
106,175.55,1.01898,2.36065,0.16162,0.78385,0.99429,0.96573,1,0.995,0.65117,0.93885,0.95652,0.96348,0.4957,1.21423,2.03576,0.01979,0.73841,1.01555,0.0017921,0.0017921,0.0017921
107,177.163,1.06176,2.12215,0.13026,0.73243,0.98663,0.99444,1,0.995,0.67049,0.92839,0.91304,0.87862,0.4201,1.13064,2.34862,0.0203,0.6881,0.98792,0.00179012,0.00179012,0.00179012
108,178.758,1.01685,2.14325,0.19627,0.72535,0.97834,0.99502,1,0.995,0.7096,0.99502,1,0.995,0.52388,1.00417,1.58857,0.0223,0.59066,0.94294,0.00178814,0.00178814,0.00178814
