epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
157,238.437,0.80167,0.56617,0.88696,0.99562,1,0.995,0.76293,0.85677,0.5319,0.93391,0.00169112,0.00169112,0.00169112
158,239.871,0.76444,0.52203,0.86458,0.9954,1,0.995,0.79526,0.89856,0.53397,0.94207,0.00168914,0.00168914,0.00168914
159,241.301,0.85743,0.59475,0.90001,0.99624,1,0.995,0.75689,1.05933,0.56343,0.98127,0.00168716,0.00168716,0.00168716
160,242.729,0.88694,0.5715,0.93071,0.99418,1,0.995,0.77088,0.92795,0.54029,0.94689,0.00168518,0.00168518,0.00168518
161,244.135,0.83196,0.58035,0.91217,0.99581,1,0.995,0.78218,0.84835,0.52621,0.93667,0.0016832,0.0016832,0.0016832
162,245.612,0.89236,0.58475,0.92391,0.99574,1,0.995,0.7935,0.90508,0.53533,0.94753,0.00168122,0.00168122,0.00168122
163,247.067,0.8369,0.56119,0.91225,0.99467,1,0.995,0.78939,0.8396,0.52653,0.93498,0.00167924,0.00167924,0.00167924
164,248.477,0.79562,0.54292,0.87128,0.99606,1,0.995,0.77169,0.97903,0.549,0.95783,0.00167726,0.00167726,0.00167726
165,249.964,0.81918,0.54747,0.89341,0.99575,1,0.995,0.76593,0.89686,0.51683,0.94049,0.00167528,0.00167528,0.00167528
166,251.402,0.83798,0.56602,0.89147,0.99573,1,0.995,0.76962,0.86583,0.51834,0.93932,0.0016733,0.0016733,0.0016733
167,252.872,0.75986,0.5397,0.89734,0.99631,1,0.995,0.78455,0.80802,0.50376,0.92398,0.00167132,0.00167132,0.00167132
168,254.35,0.7794,0.51719,0.90596,0.99574,1,0.995,0.79222,0.80002,0.48593,0.92,0.00166934,0.00166934,0.00166934
169,255.828,0.73535,0.51481,0.88687,0.99647,1,0.995,0.7955,0.83758,0.52149,0.9287,0.00166736,0.00166736,0.00166736
170,257.282,0.73264,0.51282,0.88507,0.99534,1,0.995,0.80368,0.80204,0.52958,0.92206,0.00166538,0.00166538,0.00166538
171,258.725,0.78339,0.53593,0.89436,0.99588,1,0.995,0.77903,0.87349,0.5575,0.93171,0.0016634,0.0016634,0.0016634
172,260.182,0.80291,0.52048,0.89128,0.99377,1,0.995,0.78873,0.88893,0.5938,0.9354,0.00166142,0.00166142,0.00166142
173,261.681,0.80594,0.53488,0.89661,0.99623,1,0.995,0.79984,0.85149,0.54012,0.9347,0.00165944,0.00165944,0.00165944
174,263.138,0.78043,0.52753,0.90806,0.99609,1,0.995,0.81827,0.7735,0.49705,0.91574,0.00165746,0.00165746,0.00165746
175,264.597,0.7116,0.48986,0.87919,0.99679,1,0.995,0.84902,0.72818,0.46465,0.91026,0.00165548,0.00165548,0.00165548
176,266.022,0.72379,0.48182,0.87847,0.9969,1,0.995,0.83324,0.77253,0.47686,0.92183,0.0016535,0.0016535,0.0016535
177,267.446,0.77385,0.47459,0.88762,0.99633,1,0.995,0.81678,0.75972,0.47856,0.92122,0.00165152,0.00165152,0.00165152
178,268.884,0.81997,0.56479,0.90427,0.99538,1,0.995,0.73599,0.94951,0.55345,0.95178,0.00164954,0.00164954,0.00164954
179,270.351,0.78477,0.52354,0.89828,0.99601,1,0.995,0.72453,0.95399,0.51536,0.9599,0.00164756,0.00164756,0.00164756
180,271.819,0.80331,0.53357,0.88952,0.99717,1,0.995,0.80534,0.79742,0.48828,0.92027,0.00164558,0.00164558,0.00164558
181,273.292,0.79705,0.52001,0.87619,0.9954,1,0.995,0.79879,0.80968,0.50559,0.91978,0.0016436,0.0016436,0.0016436
182,274.75,0.77697,0.52135,0.87136,0.99725,1,0.995,0.76388,0.91378,0.54866,0.94334,0.00164162,0.00164162,0.00164162
183,276.186,0.81463,0.53469,0.87554,0.99696,1,0.995,0.7974,0.80778,0.50667,0.91733,0.00163964,0.00163964,0.00163964
184,277.643,0.75125,0.53079,0.87402,0.99322,1,0.995,0.79068,0.83553,0.49645,0.92109,0.00163766,0.00163766,0.00163766
185,279.083,0.77568,0.496,0.84915,0.99667,1,0.995,0.79806,0.83498,0.5096,0.93039,0.00163568,0.00163568,0.00163568
186,280.519,0.7553,0.51547,0.89066,0.99727,1,0.995,0.79327,0.81622,0.45229,0.92388,0.0016337,0.0016337,0.0016337
187,281.971,0.83707,0.52489,0.86997,0.99717,1,0.995,0.75093,0.95414,0.52339,0.95293,0.00163172,0.00163172,0.00163172
188,283.428,0.81207,0.49386,0.87668,0.99712,1,0.995,0.74201,0.97769,0.53097,0.96994,0.00162974,0.00162974,0.00162974
189,284.852,0.80484,0.5044,0.87512,0.99627,1,0.995,0.71324,1.03082,0.5999,0.98672,0.00162776,0.00162776,0.00162776
190,286.304,0.87208,0.51315,0.89971,0.99603,1,0.995,0.7424,0.9993,0.59721,0.96566,0.00162578,0.00162578,0.00162578
